Inicio: 2025-09-11 08:00:00; Duracion: 1440 min
1757603230, Unidad: C°,S1: 11.56, S2: 11.63, S3: 11.63, S4: 11.94, S5: 11.75, S6: 11.81, S7: 12.00, S8: 11.81, S9: 11.69, S10: 12.06, S11: 11.50, S12: NA, S13: 11.69, S14: 11.81, S15: 11.69, S16: 11.56, S17: 11.50, S18: 11.63, S19: 11.69.
1757603290, Unidad: C°,S1: 11.69, S2: 11.63, S3: 11.69, S4: 11.94, S5: 11.75, S6: 11.88, S7: 12.00, S8: 11.81, S9: 11.69, S10: 12.06, S11: 11.50, S12: NA, S13: 11.69, S14: 11.81, S15: 11.69, S16: 11.63, S17: 11.50, S18: 11.63, S19: 11.69.
1757603350, Unidad: C°,S1: 11.69, S2: 11.69, S3: 11.75, S4: 11.94, S5: 11.75, S6: 11.81, S7: 12.06, S8: 11.81, S9: 11.75, S10: 12.06, S11: 11.50, S12: 11.81, S13: 11.69, S14: 11.88, S15: 11.69, S16: 11.63, S17: 11.56, S18: 11.63, S19: 11.69.
1757603410, Unidad: C°,S1: 11.69, S2: 11.69, S3: 11.75, S4: 11.94, S5: 11.75, S6: 11.88, S7: 12.06, S8: 11.88, S9: 11.69, S10: 12.13, S11: 11.50, S12: 11.81, S13: 11.69, S14: 11.88, S15: 11.69, S16: 11.63, S17: 11.56, S18: 11.63, S19: 11.69.
1757603470, Unidad: C°,S1: 11.63, S2: 11.69, S3: 11.75, S4: 11.94, S5: 11.81, S6: 11.88, S7: 12.06, S8: 11.81, S9: 11.75, S10: 12.13, S11: 11.50, S12: 11.81, S13: 11.69, S14: 11.88, S15: 11.75, S16: 11.63, S17: 11.56, S18: 11.63, S19: 11.69.
1757603530, Unidad: C°,S1: 11.69, S2: 11.69, S3: 11.75, S4: 11.94, S5: 11.81, S6: 11.88, S7: 12.06, S8: 11.94, S9: 11.81, S10: 12.13, S11: 11.56, S12: 11.88, S13: 11.69, S14: 11.88, S15: 11.75, S16: 11.63, S17: 11.56, S18: 11.69, S19: 11.69.
1757603590, Unidad: C°,S1: 11.69, S2: 11.69, S3: 11.75, S4: 12.00, S5: 11.81, S6: 11.88, S7: 12.06, S8: 11.88, S9: 11.81, S10: 12.13, S11: 11.56, S12: 11.88, S13: 11.69, S14: 11.88, S15: 11.75, S16: 11.63, S17: 11.56, S18: 11.69, S19: 11.69.
1757603650, Unidad: C°,S1: 11.75, S2: 11.69, S3: 11.75, S4: 12.06, S5: 11.75, S6: 11.94, S7: 12.06, S8: 11.88, S9: 11.81, S10: 12.13, S11: 11.56, S12: 11.88, S13: 11.69, S14: 11.88, S15: 11.75, S16: 11.69, S17: 11.63, S18: 11.69, S19: 11.75.
1757603710, Unidad: C°,S1: 11.69, S2: 11.75, S3: 11.81, S4: 12.06, S5: 11.81, S6: 11.88, S7: 12.13, S8: 11.88, S9: 11.81, S10: 12.06, S11: 11.56, S12: 11.88, S13: 11.75, S14: 11.94, S15: 11.75, S16: 11.69, S17: 11.63, S18: 11.69, S19: 11.75.
1757603770, Unidad: C°,S1: 11.75, S2: 11.75, S3: 11.81, S4: 12.06, S5: 11.88, S6: 11.94, S7: 12.13, S8: 11.88, S9: 11.81, S10: 12.06, S11: 11.56, S12: 11.88, S13: 11.75, S14: 11.94, S15: 11.75, S16: 11.69, S17: 11.63, S18: 11.69, S19: 11.75.
1757603830, Unidad: C°,S1: 11.75, S2: 11.75, S3: 11.75, S4: 12.06, S5: 11.81, S6: 11.88, S7: 12.13, S8: 11.94, S9: 11.81, S10: 12.00, S11: 11.56, S12: 11.94, S13: 11.75, S14: 11.94, S15: 11.81, S16: 11.69, S17: 11.63, S18: 11.75, S19: 11.75.
1757603890, Unidad: C°,S1: 11.75, S2: 11.75, S3: 11.81, S4: 12.06, S5: 11.88, S6: 11.94, S7: 12.13, S8: 11.94, S9: 11.81, S10: 11.94, S11: 11.56, S12: 11.94, S13: 11.75, S14: 11.94, S15: 11.81, S16: 11.69, S17: 11.63, S18: 11.75, S19: 11.75.
1757603950, Unidad: C°,S1: 11.81, S2: 11.81, S3: 11.81, S4: 12.06, S5: 11.88, S6: 11.94, S7: 12.06, S8: 11.94, S9: 11.81, S10: 12.19, S11: 11.63, S12: 11.94, S13: 11.75, S14: 11.94, S15: 11.81, S16: 11.69, S17: 11.63, S18: 11.75, S19: 11.75.
1757604010, Unidad: C°,S1: 11.81, S2: 11.81, S3: 11.88, S4: 12.06, S5: 11.81, S6: 11.94, S7: 12.13, S8: 11.94, S9: 11.81, S10: 12.19, S11: 11.63, S12: 11.94, S13: 11.75, S14: 11.94, S15: 11.81, S16: 11.69, S17: 11.63, S18: 11.75, S19: 11.75.
1757604070, Unidad: C°,S1: 11.88, S2: 11.81, S3: 11.81, S4: 12.06, S5: 11.88, S6: 12.00, S7: 12.13, S8: 12.00, S9: 11.81, S10: 12.13, S11: 11.63, S12: 11.94, S13: 11.81, S14: 11.94, S15: 11.81, S16: 11.75, S17: 11.69, S18: 11.75, S19: 11.81.
1757604130, Unidad: C°,S1: 11.81, S2: 11.81, S3: 11.88, S4: 12.13, S5: 11.88, S6: 12.00, S7: 12.19, S8: 12.00, S9: 11.81, S10: 12.19, S11: 11.63, S12: 11.94, S13: 11.81, S14: 12.00, S15: 11.81, S16: 11.75, S17: 11.69, S18: 11.81, S19: 11.81.
1757604190, Unidad: C°,S1: 11.81, S2: 11.81, S3: 11.81, S4: 12.13, S5: 11.88, S6: 12.00, S7: 12.13, S8: 11.94, S9: 11.75, S10: 12.19, S11: 11.63, S12: 11.94, S13: 11.81, S14: 12.00, S15: 11.81, S16: 11.75, S17: 11.69, S18: 11.75, S19: 11.81.
1757604250, Unidad: C°,S1: 11.75, S2: 11.81, S3: 11.81, S4: 12.13, S5: 11.94, S6: 12.06, S7: 12.19, S8: 11.94, S9: 11.88, S10: 12.19, S11: 11.69, S12: 12.00, S13: 11.81, S14: 12.00, S15: 11.88, S16: 11.75, S17: 11.75, S18: 11.81, S19: 11.81.
1757604310, Unidad: C°,S1: 11.94, S2: 11.88, S3: 11.88, S4: 12.13, S5: 11.94, S6: 12.00, S7: 12.19, S8: 12.00, S9: 11.88, S10: 12.25, S11: 11.69, S12: 12.00, S13: 11.81, S14: 12.00, S15: 11.88, S16: 11.81, S17: 11.75, S18: 11.81, S19: 11.81.
1757604370, Unidad: C°,S1: 11.94, S2: 11.88, S3: 11.94, S4: 12.13, S5: 11.94, S6: 12.00, S7: 12.19, S8: 12.00, S9: 11.88, S10: 12.19, S11: 11.69, S12: 12.00, S13: 11.88, S14: 12.00, S15: 11.88, S16: 11.81, S17: 11.69, S18: 11.81, S19: 11.81.
1757604430, Unidad: C°,S1: 11.88, S2: 11.88, S3: 11.81, S4: 12.19, S5: 11.94, S6: 12.00, S7: 12.19, S8: 12.00, S9: 11.88, S10: 12.25, S11: 11.69, S12: 12.00, S13: 11.88, S14: 12.06, S15: 11.88, S16: 11.81, S17: 11.75, S18: 11.81, S19: 11.88.
15:27:59, Unidad: C°,S1: 11.81, S2: 11.88, S3: 11.81, S4: 12.13, S5: 11.94, S6: 12.00, S7: 12.19, S8: 12.06, S9: 11.88, S10: 12.13, S11: 11.69, S12: NA, S13: 11.88, S14: 12.06, S15: 11.88, S16: 11.81, S17: 11.75, S18: 11.81, S19: 11.88.
15:28:59, Unidad: C°,S1: 11.88, S2: 11.88, S3: 11.81, S4: 12.19, S5: 11.94, S6: 12.06, S7: 12.19, S8: 12.13, S9: 11.94, S10: 12.19, S11: 11.69, S12: 12.00, S13: 11.88, S14: 12.06, S15: 11.94, S16: 11.81, S17: 11.75, S18: 11.88, S19: 11.88.
1757604594, Unidad: C°,S1: 11.94, S2: 11.88, S3: 11.88, S4: 12.19, S5: 12.00, S6: 12.00, S7: 12.25, S8: 12.06, S9: 11.88, S10: 12.31, S11: 11.75, S12: 12.00, S13: 11.88, S14: NA, S15: 11.88, S16: 11.81, S17: 11.75, S18: 11.88, S19: 11.88.
1757604654, Unidad: C°,S1: 11.94, S2: 11.88, S3: 11.88, S4: 12.19, S5: 12.00, S6: 12.13, S7: 12.25, S8: 12.06, S9: 11.94, S10: 12.31, S11: 11.75, S12: 12.06, S13: 11.88, S14: 12.06, S15: 11.88, S16: 11.81, S17: 11.81, S18: 11.88, S19: 11.88.
1757604714, Unidad: C°,S1: 11.88, S2: 11.94, S3: 12.00, S4: 12.19, S5: 12.00, S6: 12.13, S7: 12.25, S8: 12.06, S9: 11.88, S10: 12.13, S11: 11.75, S12: 12.06, S13: 11.88, S14: 12.06, S15: 11.94, S16: 11.88, S17: 11.88, S18: 11.88, S19: 11.94.
1757604774, Unidad: C°,S1: 11.88, S2: 11.94, S3: 11.94, S4: 12.25, S5: 12.00, S6: 12.13, S7: 12.25, S8: 12.06, S9: 11.94, S10: 12.31, S11: 11.75, S12: 12.06, S13: 11.94, S14: 12.13, S15: 11.94, S16: 11.88, S17: 11.81, S18: 11.94, S19: 11.94.
1757604834, Unidad: C°,S1: 11.94, S2: 11.94, S3: 12.00, S4: 12.25, S5: 12.06, S6: 12.13, S7: 12.25, S8: 12.13, S9: 11.94, S10: 12.31, S11: 11.75, S12: 12.06, S13: 11.94, S14: 12.13, S15: 11.94, S16: 11.88, S17: 11.81, S18: 11.94, S19: 11.94.
1757604894, Unidad: C°,S1: 11.94, S2: 11.94, S3: 12.00, S4: 12.25, S5: 12.06, S6: 12.13, S7: 12.25, S8: 12.13, S9: 11.94, S10: 12.31, S11: 11.75, S12: 12.06, S13: 11.94, S14: 12.13, S15: 11.94, S16: 11.88, S17: 11.81, S18: 11.94, S19: 11.94.
1757604954, Unidad: C°,S1: 11.94, S2: 11.94, S3: 12.00, S4: 12.25, S5: 12.00, S6: 12.13, S7: 12.25, S8: 12.13, S9: 11.94, S10: 12.38, S11: 11.81, S12: 12.06, S13: 11.94, S14: 12.13, S15: 12.00, S16: 11.88, S17: 11.81, S18: 11.94, S19: 11.94.
1757605014, Unidad: C°,S1: 11.94, S2: 11.94, S3: 12.00, S4: 12.31, S5: 12.06, S6: 12.13, S7: 12.31, S8: 12.13, S9: 12.00, S10: 12.31, S11: 11.81, S12: 12.13, S13: 11.94, S14: 12.13, S15: 12.00, S16: 11.94, S17: 11.88, S18: 11.94, S19: 12.00.
1757605074, Unidad: C°,S1: 12.00, S2: 12.00, S3: 12.00, S4: 12.25, S5: 12.06, S6: 12.13, S7: 12.31, S8: 12.13, S9: 12.00, S10: 12.38, S11: 11.81, S12: 12.13, S13: 12.00, S14: 12.13, S15: 12.00, S16: 11.94, S17: 11.88, S18: 11.94, S19: 12.00.
1757605134, Unidad: C°,S1: 12.06, S2: 12.00, S3: 12.06, S4: 12.31, S5: 12.06, S6: 12.13, S7: 12.31, S8: 12.13, S9: 12.00, S10: 12.38, S11: 11.81, S12: 12.13, S13: 12.00, S14: 12.19, S15: 12.00, S16: 11.94, S17: 11.88, S18: 11.94, S19: 12.00.
1757605194, Unidad: C°,S1: 12.06, S2: 12.00, S3: 12.00, S4: 12.31, S5: 12.06, S6: 12.19, S7: 12.31, S8: 12.19, S9: 12.06, S10: 12.25, S11: 11.81, S12: 12.13, S13: 12.00, S14: 12.19, S15: 12.00, S16: 11.94, S17: 11.88, S18: 11.94, S19: 12.00.
1757605254, Unidad: C°,S1: 12.00, S2: 12.00, S3: 12.06, S4: 12.31, S5: 12.13, S6: 12.19, S7: 12.31, S8: 12.19, S9: 12.06, S10: 12.38, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.19, S15: 12.06, S16: 11.94, S17: 11.94, S18: 11.94, S19: 12.00.
1757605314, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.13, S6: 12.25, S7: 12.38, S8: 12.19, S9: 12.06, S10: 12.38, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.19, S15: 12.06, S16: 11.94, S17: 11.94, S18: 12.00, S19: 12.00.
1757605374, Unidad: C°,S1: 12.00, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.13, S6: 12.19, S7: 12.38, S8: 12.19, S9: 12.06, S10: 12.44, S11: 11.88, S12: 12.19, S13: 12.06, S14: 12.19, S15: 12.06, S16: 12.00, S17: 11.94, S18: 12.00, S19: 12.06.
1757605434, Unidad: C°,S1: 12.00, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.19, S6: 12.19, S7: 12.38, S8: 12.19, S9: 12.06, S10: 12.44, S11: 11.88, S12: 12.19, S13: 12.06, S14: 12.25, S15: 12.06, S16: 12.00, S17: 11.94, S18: 12.00, S19: 12.06.
1757605494, Unidad: C°,S1: 12.00, S2: 12.06, S3: 12.00, S4: 12.19, S5: 12.06, S6: 12.25, S7: 12.38, S8: 12.19, S9: 12.00, S10: 12.44, S11: 11.88, S12: 12.25, S13: 12.06, S14: 12.25, S15: 12.06, S16: 12.00, S17: 11.94, S18: 12.00, S19: 12.06.
1757605554, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.13, S6: 12.25, S7: 12.44, S8: 12.25, S9: 12.13, S10: 12.44, S11: 11.88, S12: 12.19, S13: 12.06, S14: 12.25, S15: 12.06, S16: 12.00, S17: 11.94, S18: 12.00, S19: 12.06.
1757605614, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.19, S6: 12.25, S7: 12.44, S8: 12.19, S9: 12.19, S10: 12.38, S11: 11.94, S12: 12.19, S13: 12.06, S14: 12.25, S15: 12.13, S16: 12.00, S17: 12.00, S18: 12.06, S19: 12.06.
1757605674, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.19, S4: 12.44, S5: 12.19, S6: 12.31, S7: 12.44, S8: 12.25, S9: 12.19, S10: 12.50, S11: 11.94, S12: 12.25, S13: 12.06, S14: 12.25, S15: 12.13, S16: 12.06, S17: 12.00, S18: 12.06, S19: 12.06.
