# Inicio: 2025-09-12 08:00:00; Duracion: 1440 min
1757653259, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.56, S6: 0.31, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.38, S11: -0.25, S12: 0.88, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.00, S17: 0.63, S18: 0.00, S19: -0.06.
1757653319, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.13, S4: 0.63, S5: 0.56, S6: 0.38, S7: 0.38, S8: 0.31, S9: 0.50, S10: 0.38, S11: -0.31, S12: 0.94, S13: 0.69, S14: 0.06, S15: 0.00, S16: 0.00, S17: 0.63, S18: 0.00, S19: -0.06.
1757653379, Unidad: C°,S1: 0.69, S2: 0.13, S3: -0.06, S4: 0.56, S5: 0.50, S6: 0.31, S7: 0.44, S8: 0.31, S9: 0.56, S10: 0.38, S11: -0.25, S12: 0.88, S13: 0.69, S14: 0.06, S15: 0.00, S16: 0.06, S17: 0.63, S18: 0.00, S19: -0.06.
1757653439, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.56, S6: 0.31, S7: 0.38, S8: 0.38, S9: 0.50, S10: 0.13, S11: -0.25, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.00, S17: 0.63, S18: 0.00, S19: -0.06.
1757653499, Unidad: C°,S1: 0.50, S2: 0.06, S3: -0.06, S4: 0.50, S5: 0.56, S6: 0.38, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.38, S11: -0.31, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.63, S18: 0.00, S19: -0.06.
1757653559, Unidad: C°,S1: 0.56, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.56, S6: 0.38, S7: 0.38, S8: 0.38, S9: 0.50, S10: 0.38, S11: -0.31, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.63, S18: 0.00, S19: -0.06.
1757653619, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.56, S5: 0.56, S6: 0.44, S7: 0.38, S8: 0.44, S9: 0.50, S10: 0.38, S11: -0.25, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.63, S18: 0.00, S19: -0.06.
1757653679, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.06, S4: 0.44, S5: 0.56, S6: 0.31, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.19, S11: -0.31, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.06, S17: 0.63, S18: 0.00, S19: -0.06.
1757653739, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.13, S4: 0.56, S5: 0.63, S6: 0.38, S7: 0.38, S8: 0.38, S9: 0.56, S10: 0.38, S11: -0.31, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.00, S17: 0.63, S18: 0.00, S19: -0.06.
1757653799, Unidad: C°,S1: 0.63, S2: 0.06, S3: 0.00, S4: 0.50, S5: 0.56, S6: 0.38, S7: 0.44, S8: 0.38, S9: 0.56, S10: 0.38, S11: -0.25, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.00, S17: 0.63, S18: 0.00, S19: -0.06.
1757653859, Unidad: C°,S1: 0.63, S2: 0.06, S3: -0.13, S4: 0.56, S5: 0.56, S6: 0.44, S7: 0.44, S8: 0.38, S9: 0.50, S10: 0.38, S11: -0.25, S12: 0.94, S13: 0.69, S14: 0.13, S15: 0.00, S16: 0.00, S17: 0.69, S18: 0.00, S19: -0.06.
