# Inicio: 2025-09-13 08:00:00; Duracion: 1440 min
1757739659, Unidad: C°,S1: -0.13, S2: 0.13, S3: 0.06, S4: 0.75, S5: -0.50, S6: 0.19, S7: 0.63, S8: 0.38, S9: -0.06, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757739719, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.44, S6: 0.19, S7: 0.63, S8: 0.38, S9: -0.13, S10: 0.63, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757739779, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.50, S6: 0.19, S7: 0.63, S8: 0.31, S9: -0.06, S10: 0.56, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757739839, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.44, S6: 0.19, S7: 0.69, S8: 0.38, S9: -0.13, S10: 0.63, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757739899, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.06, S4: 0.69, S5: -0.44, S6: 0.19, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: 0.00, S17: -0.19, S18: 0.13, S19: 0.06.
1757739959, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.44, S6: 0.19, S7: 0.63, S8: 0.31, S9: 0.00, S10: 0.56, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757740019, Unidad: C°,S1: 0.00, S2: 0.13, S3: 0.19, S4: 0.75, S5: -0.50, S6: 0.19, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.06, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757740079, Unidad: C°,S1: -0.06, S2: 0.19, S3: 0.06, S4: 0.75, S5: -0.44, S6: 0.13, S7: 0.56, S8: 0.38, S9: -0.06, S10: 0.63, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757740139, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.06, S4: 0.69, S5: -0.44, S6: 0.19, S7: 0.63, S8: 0.38, S9: -0.13, S10: 0.63, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757740199, Unidad: C°,S1: -0.13, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.44, S6: 0.19, S7: 0.63, S8: 0.38, S9: -0.13, S10: 0.56, S11: -0.13, S12: 0.19, S13: 0.31, S14: 0.31, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757740259, Unidad: C°,S1: -0.13, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.44, S6: 0.19, S7: 0.63, S8: 0.38, S9: 0.00, S10: 0.63, S11: -0.13, S12: 0.19, S13: 0.25, S14: 0.38, S15: 0.13, S16: -0.06, S17: -0.19, S18: 0.13, S19: 0.06.
1757740319, Unidad: C°,S1: -0.06, S2: 0.13, S3: 0.13, S4: 0.75, S5: -0.44, S6: 0.19, S7: 0.69, S8: 0.38, S9: -0.06, S10: 0.44, S11: -0.13, S12: 0.19, S13: 0.31, S14: 0.31, S15: 0.13, S16: 0.00, S17: -0.19, S18: 0.13, S19: 0.06.
