# Inicio: 2025-09-19 08:00:00; Duracion: 1440 min
1758258059, Unidad: C°,S1: 17.44, S2: 17.44, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.63, S7: 17.75, S8: 17.75, S9: 17.50, S10: 17.69, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258119, Unidad: C°,S1: 17.44, S2: 17.50, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.69, S7: 17.75, S8: 17.69, S9: 17.44, S10: 17.75, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258179, Unidad: C°,S1: 17.50, S2: 17.44, S3: 17.50, S4: 17.81, S5: 17.56, S6: 17.63, S7: 17.81, S8: 17.75, S9: 17.44, S10: 17.69, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258239, Unidad: C°,S1: 17.44, S2: 17.44, S3: 17.44, S4: 17.75, S5: 17.56, S6: 17.69, S7: 17.75, S8: 17.75, S9: 17.44, S10: 17.69, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258299, Unidad: C°,S1: 17.44, S2: 17.44, S3: 17.44, S4: 17.75, S5: 17.56, S6: 17.63, S7: 17.81, S8: 17.69, S9: 17.44, S10: 17.56, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258359, Unidad: C°,S1: 17.50, S2: 17.50, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.69, S7: 17.81, S8: 17.75, S9: 17.50, S10: 17.69, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.38.
1758258419, Unidad: C°,S1: 17.50, S2: 17.50, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.63, S7: 17.81, S8: 17.69, S9: 17.50, S10: 17.50, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.44, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.38.
1758258479, Unidad: C°,S1: 17.50, S2: 17.50, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.63, S7: 17.81, S8: 17.75, S9: 17.44, S10: 17.69, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258539, Unidad: C°,S1: 17.44, S2: 17.50, S3: 17.50, S4: 17.69, S5: 17.56, S6: 17.63, S7: 17.81, S8: 17.69, S9: 17.44, S10: 17.63, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.44, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258599, Unidad: C°,S1: 17.50, S2: 17.44, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.63, S7: 17.75, S8: 17.75, S9: 17.44, S10: 17.69, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.44.
1758258659, Unidad: C°,S1: 17.44, S2: 17.44, S3: 17.50, S4: 17.75, S5: 17.56, S6: 17.63, S7: 17.81, S8: 17.69, S9: 17.44, S10: 17.63, S11: 17.31, S12: 17.56, S13: 17.44, S14: 17.63, S15: 17.50, S16: 17.44, S17: 17.38, S18: 17.44, S19: 17.38.
