Inicio: 2025-08-12 08:00:00; Duracion: 1440 min
2025-08-12,08:00:05, Unidad: C°,S1: 15.19, S2: 15.19, S3: 15.19, S4: 15.56, S5: 16.81, S6: 15.31, S7: 15.25, S8: 15.50, S9: 15.50, S10: 15.19, S11: 15.44, S12: 15.06, S13: 15.25, S14: 15.25, S15: 15.38, S16: 15.19, S17: 15.19, S18: 15.13, S19: 15.19, S20: 15.13.
2025-08-12,08:01:05, Unidad: C°,S1: 15.19, S2: 15.13, S3: 15.19, S4: 15.56, S5: 16.81, S6: 15.25, S7: 15.25, S8: 15.56, S9: 15.50, S10: 15.13, S11: 15.44, S12: 15.06, S13: 15.31, S14: 15.25, S15: 15.38, S16: 15.19, S17: 15.19, S18: 15.13, S19: 15.19, S20: 15.13.
2025-08-12,08:02:05, Unidad: C°,S1: 15.19, S2: 15.13, S3: 15.19, S4: 15.50, S5: 16.88, S6: 15.31, S7: 15.25, S8: 15.50, S9: 15.50, S10: 15.19, S11: 15.44, S12: 15.06, S13: 15.25, S14: 15.25, S15: 15.38, S16: 15.19, S17: 15.25, S18: 15.13, S19: 15.19, S20: 15.13.
2025-08-12,08:03:05, Unidad: C°,S1: 15.19, S2: 15.19, S3: 15.19, S4: 15.56, S5: 16.81, S6: 15.31, S7: 15.25, S8: 15.50, S9: 15.50, S10: 15.19, S11: 15.38, S12: 15.06, S13: 15.25, S14: 15.25, S15: 15.38, S16: 15.19, S17: 15.19, S18: 15.13, S19: 15.19, S20: 15.13.
2025-08-12,08:04:05, Unidad: C°,S1: 15.19, S2: 15.19, S3: 15.19, S4: 15.56, S5: 16.81, S6: 15.31, S7: 15.25, S8: 15.56, S9: 15.56, S10: 15.19, S11: 15.31, S12: 15.06, S13: 15.31, S14: 15.25, S15: 15.38, S16: 15.19, S17: 15.25, S18: 15.19, S19: 15.19, S20: 15.19.
2025-08-12,08:05:05, Unidad: C°,S1: 15.19, S2: 15.19, S3: 15.19, S4: 15.56, S5: 16.88, S6: 15.31, S7: 15.38, S8: 15.56, S9: 15.50, S10: 15.19, S11: 15.50, S12: 15.06, S13: 15.31, S14: 15.25, S15: 15.44, S16: 15.25, S17: 15.25, S18: 15.19, S19: 15.19, S20: 15.13.
2025-08-12,08:06:05, Unidad: C°,S1: 15.25, S2: 15.19, S3: 15.25, S4: 15.56, S5: 16.88, S6: 15.38, S7: 15.38, S8: 15.56, S9: 15.56, S10: 15.19, S11: 15.31, S12: 15.06, S13: 15.31, S14: 15.31, S15: 15.44, S16: 15.25, S17: 15.25, S18: 15.19, S19: 15.19, S20: 15.19.
2025-08-12,08:07:05, Unidad: C°,S1: 15.31, S2: 15.25, S3: 15.25, S4: 15.56, S5: 16.88, S6: 15.38, S7: 15.31, S8: 15.56, S9: 15.56, S10: 15.25, S11: 15.31, S12: 15.06, S13: 15.31, S14: 15.25, S15: 15.44, S16: 15.25, S17: 15.25, S18: 15.19, S19: 15.25, S20: 15.19.
2025-08-12,08:08:05, Unidad: C°,S1: 15.19, S2: 15.25, S3: 15.25, S4: 15.56, S5: 16.88, S6: 15.31, S7: 15.38, S8: 15.56, S9: 15.56, S10: 15.19, S11: 15.50, S12: 15.06, S13: 15.31, S14: 15.31, S15: 15.44, S16: 15.25, S17: 15.25, S18: 15.19, S19: 15.25, S20: 15.19.
2025-08-12,08:09:05, Unidad: C°,S1: 15.19, S2: 15.25, S3: 15.25, S4: 15.63, S5: 16.88, S6: 15.31, S7: 15.38, S8: 15.56, S9: 15.63, S10: 15.31, S11: 15.50, S12: 15.13, S13: 15.31, S14: 15.31, S15: 15.44, S16: 15.25, S17: 15.25, S18: 15.19, S19: 15.25, S20: 15.19.
2025-08-12,08:10:05, Unidad: C°,S1: 15.25, S2: 15.25, S3: 15.25, S4: 15.56, S5: 16.88, S6: 15.38, S7: 15.38, S8: 15.56, S9: 15.56, S10: 15.25, S11: 15.56, S12: 15.13, S13: 15.31, S14: 15.31, S15: 15.44, S16: 15.25, S17: 15.25, S18: 15.19, S19: 15.25, S20: 15.19.
2025-08-12,08:11:05, Unidad: C°,S1: 15.31, S2: 15.25, S3: 15.31, S4: 15.56, S5: 16.94, S6: 15.44, S7: 15.44, S8: 15.63, S9: 15.63, S10: 15.31, S11: 15.38, S12: 15.13, S13: 15.31, S14: 15.31, S15: 15.44, S16: 15.31, S17: 15.31, S18: 15.19, S19: 15.25, S20: 15.19.
