Inicio: 2025-08-16 08:00:00; Duracion: 1440 min
2025-08-16,08:00:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.69, S8: 13.38, S9: 12.94, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.94, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.19, S19: 13.19.
2025-08-16,08:01:46, Unidad: C°,S1: 13.13, S2: 13.00, S3: 13.06, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.69, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.69, S12: 13.06, S13: 12.94, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:02:46, Unidad: C°,S1: 13.13, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.50, S7: 13.69, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:03:46, Unidad: C°,S1: 13.13, S2: 13.00, S3: 13.06, S4: 13.31, S5: 13.31, S6: 13.50, S7: 13.69, S8: 13.38, S9: 13.00, S10: 13.38, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:04:46, Unidad: C°,S1: 13.06, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.50, S7: 13.69, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:05:46, Unidad: C°,S1: 13.06, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.50, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:06:46, Unidad: C°,S1: 13.13, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.50, S7: 13.63, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:07:46, Unidad: C°,S1: 13.13, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.69, S8: 13.44, S9: 13.00, S10: 13.31, S11: 12.69, S12: 13.06, S13: 12.88, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:08:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.69, S8: 13.38, S9: 13.00, S10: 13.31, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.25, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:09:46, Unidad: C°,S1: 13.13, S2: 12.94, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.50, S7: 13.69, S8: 13.38, S9: 13.00, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
2025-08-16,08:10:46, Unidad: C°,S1: 13.00, S2: 13.00, S3: 13.00, S4: 13.31, S5: 13.38, S6: 13.44, S7: 13.63, S8: 13.44, S9: 13.00, S10: 13.44, S11: 12.75, S12: 13.06, S13: 12.88, S14: 13.19, S15: 13.19, S16: 13.19, S17: 12.94, S18: 13.13, S19: 13.19.
