#Inicio: 2025-08-20 08:00:00; Duracion: 1440 min
2025-08-20,08:00:22, Unidad: C°,S1: 1.81, S2: 2.38, S3: 1.81, S4: 2.38, S5: 1.75, S6: 1.75, S7: 2.50, S8: 2.63, S9: 2.06, S10: 2.75, S11: 2.00, S12: 2.31, S13: 2.13, S14: 2.38, S15: 2.19, S16: 2.19, S17: 1.88, S18: 2.13, S19: 1.94.
2025-08-20,08:01:22, Unidad: C°,S1: 1.81, S2: 2.38, S3: 1.75, S4: 2.38, S5: 1.75, S6: 1.75, S7: 2.56, S8: 2.69, S9: 2.06, S10: 2.69, S11: 2.06, S12: 2.31, S13: 2.13, S14: 2.44, S15: 2.19, S16: 2.19, S17: 1.88, S18: 2.13, S19: 1.94.
2025-08-20,08:02:22, Unidad: C°,S1: 1.81, S2: 2.38, S3: 1.81, S4: 2.44, S5: 1.81, S6: 1.75, S7: 2.56, S8: 2.63, S9: 2.06, S10: 2.69, S11: 2.06, S12: 2.31, S13: 2.13, S14: 2.44, S15: 2.19, S16: 2.19, S17: 1.94, S18: 2.13, S19: 1.94.
2025-08-20,08:03:22, Unidad: C°,S1: 1.88, S2: 2.38, S3: 1.81, S4: 2.44, S5: 1.81, S6: 1.75, S7: 2.56, S8: 2.69, S9: 2.06, S10: 2.75, S11: 2.06, S12: 2.38, S13: 2.13, S14: 2.44, S15: 2.19, S16: 2.19, S17: 1.94, S18: 2.13, S19: 1.94.
2025-08-20,08:04:22, Unidad: C°,S1: 1.81, S2: 2.38, S3: 1.81, S4: 2.44, S5: 1.81, S6: 1.75, S7: 2.56, S8: 2.69, S9: 2.13, S10: 2.75, S11: 2.06, S12: 2.38, S13: 2.13, S14: 2.44, S15: 2.19, S16: 2.19, S17: 1.94, S18: 2.19, S19: 1.94.
2025-08-20,08:05:22, Unidad: C°,S1: 1.75, S2: 2.38, S3: 1.88, S4: 2.44, S5: 1.81, S6: 1.81, S7: 2.56, S8: 2.69, S9: 2.13, S10: 2.69, S11: 2.06, S12: 2.38, S13: 2.13, S14: 2.44, S15: 2.19, S16: 2.19, S17: 1.94, S18: 2.19, S19: 2.00.
2025-08-20,08:06:22, Unidad: C°,S1: 1.81, S2: 2.44, S3: 1.81, S4: 2.50, S5: 1.75, S6: 1.81, S7: 2.56, S8: 2.69, S9: 2.13, S10: 2.75, S11: 2.06, S12: 2.38, S13: 2.13, S14: 2.44, S15: 2.25, S16: 2.19, S17: 1.94, S18: 2.19, S19: 2.00.
2025-08-20,08:07:22, Unidad: C°,S1: 1.81, S2: 2.38, S3: 1.81, S4: 2.50, S5: 1.81, S6: 1.81, S7: 2.56, S8: 2.69, S9: 2.06, S10: 2.75, S11: 2.06, S12: 2.38, S13: 2.19, S14: 2.50, S15: 2.25, S16: 2.19, S17: 1.94, S18: 2.19, S19: 2.00.
2025-08-20,08:08:22, Unidad: C°,S1: 1.88, S2: 2.44, S3: 1.88, S4: 2.44, S5: 1.81, S6: 1.81, S7: 2.56, S8: 2.69, S9: 2.13, S10: 2.81, S11: 2.06, S12: 2.38, S13: 2.19, S14: 2.50, S15: 2.25, S16: 2.19, S17: 1.94, S18: 2.19, S19: 2.00.
2025-08-20,08:09:22, Unidad: C°,S1: 1.88, S2: 2.44, S3: 1.88, S4: 2.44, S5: 1.88, S6: 1.75, S7: 2.56, S8: 2.69, S9: 2.13, S10: 2.75, S11: 2.06, S12: 2.38, S13: 2.19, S14: 2.50, S15: 2.25, S16: 2.25, S17: 1.94, S18: 2.19, S19: 2.00.
2025-08-20,08:10:22, Unidad: C°,S1: 1.88, S2: 2.44, S3: 1.88, S4: 2.56, S5: 1.88, S6: 1.81, S7: 2.63, S8: 2.75, S9: 2.19, S10: 2.75, S11: 2.06, S12: 2.38, S13: 2.19, S14: 2.50, S15: 2.25, S16: 2.25, S17: 1.94, S18: 2.19, S19: 2.00.
