Date,Time,Unit,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
2025-08-19,15:22:22,C°,-2.06,-0.25,-1.81,0.25,-0.56,-0.44,0.31,1.38,-0.38,0.38,-0.31,-0.13,-0.38,0.06,-1.25,-0.13,-2.44,-0.25,-1.13
2025-08-19,15:23:22,C°,-2.19,-0.31,-2.0,0.19,-0.69,-0.44,0.25,0.94,-0.44,0.31,-0.31,-0.13,-0.44,0.06,-1.44,-0.19,-2.56,-0.31,-1.19
2025-08-19,15:24:22,C°,-2.31,-0.31,-2.19,0.06,-0.75,-0.44,0.25,0.63,-0.44,0.31,-0.38,-0.19,-0.5,0.0,-1.5,-0.19,-2.56,-0.38,-1.19
2025-08-19,15:25:22,C°,-2.5,-0.38,-2.44,-0.19,-0.88,-0.5,0.25,0.44,-0.38,0.19,-0.38,-0.19,-0.56,0.0,-1.56,-0.19,-2.56,-0.44,-1.25
2025-08-19,15:26:22,C°,-2.56,-0.38,-2.56,-0.44,-1.0,-0.5,0.13,0.31,-0.44,0.31,-0.44,-0.19,-0.63,0.0,-1.56,-0.19,-2.56,-0.56,-1.25
2025-08-19,15:27:22,C°,-2.75,-0.44,-2.69,-0.5,-1.19,-0.56,0.13,0.25,-0.38,0.31,-0.56,-0.19,-0.69,0.0,-1.56,-0.25,-2.56,-0.56,-1.19
2025-08-19,15:28:22,C°,-2.75,-0.44,-2.69,-0.69,-1.31,-0.63,0.06,0.19,-0.38,0.31,-0.63,-0.19,-0.75,0.0,-1.56,-0.25,-2.5,-0.63,-1.19
2025-08-19,15:29:22,C°,-2.81,-0.5,-2.81,-0.81,-1.44,-0.69,0.06,0.19,-0.38,0.31,-0.69,-0.19,-0.75,0.0,-1.56,-0.25,-2.5,-0.56,-1.19
2025-08-19,15:30:22,C°,-2.94,-0.5,-2.88,-0.94,-1.56,-0.75,-0.06,0.06,-0.38,0.31,-0.75,-0.25,-0.88,0.0,-1.56,-0.25,-2.5,-0.44,-1.19
2025-08-19,15:31:22,C°,-2.94,-0.56,-3.0,-1.06,-1.75,-0.75,-0.19,0.0,-0.38,0.31,-0.81,-0.25,-0.88,0.0,-1.63,-0.31,-2.5,-0.5,-1.19
2025-08-19,15:32:22,C°,-3.06,-0.63,-3.0,-1.19,-1.94,-0.75,-0.25,0.0,-0.38,0.31,-0.94,-0.31,-0.94,0.0,-1.63,-0.31,-2.5,-0.5,-1.13
2025-08-19,15:33:22,C°,-3.0,-0.63,-3.06,-1.19,-2.0,-0.75,-0.31,-0.13,-0.38,0.31,-0.88,-0.31,-0.94,0.0,-1.69,-0.31,-2.5,-0.56,-1.13
2025-08-19,15:34:22,C°,-3.0,-0.63,-3.13,-1.25,-2.06,-0.75,-0.44,-0.13,-0.38,0.25,-1.0,-0.31,-1.0,0.0,-1.69,-0.31,-2.5,-0.63,-1.13
2025-08-19,15:35:22,C°,-3.0,-0.63,-3.06,-1.25,-2.13,-0.75,-0.5,-0.19,-0.38,0.31,-1.0,-0.38,-1.06,-0.06,-1.69,-0.31,-2.5,-0.69,-1.06
2025-08-19,15:36:22,C°,-3.0,-0.63,-3.06,-1.31,-2.19,-0.69,-0.5,-0.19,-0.38,0.25,-1.13,-0.38,-1.13,-0.13,-1.69,-0.31,-2.44,-0.75,-1.06
2025-08-19,15:37:22,C°,-3.0,-0.63,-3.13,-1.31,-2.25,-0.69,-0.56,-0.25,-0.38,0.25,-1.19,-0.44,-1.25,-0.13,-1.75,-0.31,-2.44,-0.75,-1.06
2025-08-19,15:38:22,C°,-2.94,-0.63,-3.06,-1.44,-2.25,-0.69,-0.63,-0.31,-0.38,0.25,-1.25,-0.44,-1.25,-0.13,-1.75,-0.38,-2.44,-0.88,-1.0
2025-08-19,15:39:22,C°,-3.0,-0.63,-3.06,-1.44,-2.25,-0.63,-0.63,-0.31,-0.38,0.31,-1.25,-0.44,-1.25,-0.13,-1.69,-0.38,-2.44,-1.06,-1.0
2025-08-19,15:40:22,C°,-3.0,-0.63,-3.0,-1.44,-2.31,-0.69,-0.63,-0.38,-0.38,0.25,-1.25,-0.44,-1.25,-0.06,-1.69,-0.38,-2.44,-1.19,-1.0
