sensor,plateau_start,plateau_end,plateau_duration_min,plateau_mean_T_C,plateau_std_T_C,plateau_median_slope_C_per_min,sustained_cross_ts
S1,2025-08-19 17:55:22,2025-08-19 17:57:22,2.0,-0.22999999999999998,0.0565685424949238,0.0,
S10,,,,,,,
S11,2025-08-19 17:33:22,2025-08-19 18:03:22,30.0,-0.18806451612903236,0.010601081758164505,0.0,
S12,2025-08-19 15:25:22,2025-08-19 15:30:22,5.0,-0.19999999999999998,0.022360679774997897,0.0,
S13,2025-08-19 16:23:22,2025-08-19 16:27:22,4.0,-0.178,0.023999999999999997,0.0,
S14,2025-08-19 15:37:22,2025-08-19 15:40:22,3.0,-0.1125,0.030310889132455353,0.0,
S15,2025-08-19 16:26:22,2025-08-19 16:31:22,5.0,-0.18000000000000002,0.022360679774997897,0.0,
S16,2025-08-19 15:24:22,2025-08-19 15:27:22,3.0,-0.20500000000000002,0.02598076211353316,0.0,
S17,2025-08-19 22:01:22,2025-08-19 22:04:22,3.0,-0.20500000000000002,0.02598076211353316,0.0,
S18,2025-08-19 16:28:22,2025-08-19 16:38:22,10.0,-0.18454545454545454,0.01724878723728207,0.0,
S19,2025-08-19 16:14:22,2025-08-19 16:17:22,3.0,-0.045,0.02598076211353316,0.0,
S2,2025-08-19 16:11:22,2025-08-19 16:15:22,4.0,-0.11600000000000002,0.028000000000000004,0.0,
S3,2025-08-19 18:31:22,2025-08-19 18:35:22,4.0,-0.202,0.023999999999999997,0.0,
S4,2025-08-19 16:17:22,2025-08-19 16:19:22,2.0,-0.08666666666666667,0.061282587702834124,0.0,
S5,2025-08-19 21:39:22,2025-08-19 21:41:22,2.0,-0.21,0.0282842712474619,0.0,
S6,2025-08-19 16:51:22,2025-08-19 16:53:22,2.0,-0.17,0.0282842712474619,0.0,
S7,2025-08-19 16:01:22,2025-08-19 16:03:22,2.0,-0.17,0.0282842712474619,0.0,
S8,2025-08-19 16:03:22,2025-08-19 16:06:22,3.0,-0.1125,0.030310889132455353,0.0,
S9,2025-08-19 19:19:22,2025-08-19 19:27:22,8.0,-0.18333333333333332,0.018856180831641266,0.0,
