Inicio: 2025-08-19 08:00:00; Duracion: 1440 min
2025-08-19,08:00:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.44, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.31, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:01:46, Unidad: C°,S1: 12.13, S2: 12.13, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.50, S7: 12.81, S8: 12.63, S9: 12.06, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.31, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:02:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:03:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.06, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:04:46, Unidad: C°,S1: 12.13, S2: 12.13, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.63, S9: 12.00, S10: 12.38, S11: 11.81, S12: 12.19, S13: 12.06, S14: 12.31, S15: 12.31, S16: 12.31, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:05:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.56, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:06:46, Unidad: C°,S1: 12.13, S2: 12.13, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.31, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:07:46, Unidad: C°,S1: 12.13, S2: 12.13, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.56, S9: 12.06, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.31, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:08:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.44, S6: 12.50, S7: 12.75, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:09:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:10:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:11:46, Unidad: C°,S1: 12.13, S2: 12.13, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:12:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.44, S6: 12.56, S7: 12.75, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:13:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.63, S9: 12.00, S10: 12.38, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:14:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.56, S7: 12.75, S8: 12.63, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:15:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.63, S9: 12.00, S10: 12.44, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:16:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.56, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.31, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:17:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.63, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:18:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.13, S4: 12.31, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:19:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.56, S9: 11.94, S10: 12.44, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:20:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.63, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:21:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:22:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.25.
2025-08-19,08:23:46, Unidad: C°,S1: 12.13, S2: 12.06, S3: 12.13, S4: 12.31, S5: 12.44, S6: 12.50, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:24:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.63, S9: 12.00, S10: 12.38, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:25:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.75, S8: 12.56, S9: 12.00, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:26:46, Unidad: C°,S1: 12.06, S2: 12.06, S3: 12.06, S4: 12.38, S5: 12.38, S6: 12.50, S7: 12.81, S8: 12.56, S9: 11.94, S10: 12.44, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:27:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.44, S7: 12.81, S8: 12.56, S9: 12.00, S10: 12.50, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
2025-08-19,08:28:46, Unidad: C°,S1: 12.19, S2: 12.06, S3: 12.13, S4: 12.38, S5: 12.44, S6: 12.56, S7: 12.81, S8: 12.56, S9: 11.94, S10: 12.56, S11: 11.81, S12: 12.19, S13: 12.00, S14: 12.31, S15: 12.31, S16: 12.25, S17: 12.06, S18: 12.25, S19: 12.31.
