Inicio: 2025-08-10 08:00:00; Duracion: 1440 min
2025-08-10,08:00:02, Unidad: C°,S1: 17.06, S2: 16.94, S3: 16.88, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.00, S10: 16.88, S11: 16.81, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:01:02, Unidad: C°,S1: 17.06, S2: 16.94, S3: 16.81, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.06, S9: 17.00, S10: 16.81, S11: 16.88, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:02:02, Unidad: C°,S1: 17.00, S2: 16.94, S3: 16.81, S4: 17.13, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.00, S10: 16.81, S11: 16.81, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:03:02, Unidad: C°,S1: 17.06, S2: 16.88, S3: 16.88, S4: 17.13, S5: 21.50, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.06, S10: 16.81, S11: 16.88, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.69, S18: 16.63, S19: 16.75, S20: 16.69.
2025-08-10,08:04:02, Unidad: C°,S1: 17.00, S2: 16.94, S3: 16.88, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.06, S10: 16.81, S11: 16.88, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:05:02, Unidad: C°,S1: 17.00, S2: 16.94, S3: 16.81, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.88, S8: 17.00, S9: 17.00, S10: 16.81, S11: 16.88, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:06:02, Unidad: C°,S1: 17.06, S2: 16.94, S3: 16.88, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.06, S10: 16.81, S11: 16.88, S12: 16.56, S13: 16.81, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:07:02, Unidad: C°,S1: 17.06, S2: 17.00, S3: 16.81, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.06, S9: 17.00, S10: 16.88, S11: 16.88, S12: 16.56, S13: 16.81, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
2025-08-10,08:08:02, Unidad: C°,S1: 17.00, S2: 16.94, S3: 16.81, S4: 17.13, S5: 21.50, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.06, S10: 16.81, S11: 16.81, S12: 16.56, S13: 16.81, S14: 16.75, S15: 16.88, S16: 16.75, S17: 16.75, S18: 16.63, S19: 16.75, S20: 16.69.
2025-08-10,08:09:02, Unidad: C°,S1: 17.00, S2: 16.94, S3: 16.88, S4: 17.13, S5: 21.56, S6: 16.69, S7: 16.81, S8: 17.00, S9: 17.00, S10: 16.81, S11: 16.81, S12: 16.56, S13: 16.81, S14: 16.75, S15: 16.88, S16: 16.81, S17: 16.69, S18: 16.69, S19: 16.75, S20: 16.69.
2025-08-10,08:10:02, Unidad: C°,S1: 16.94, S2: 16.94, S3: 16.81, S4: 17.19, S5: 21.56, S6: 16.75, S7: 16.81, S8: 17.00, S9: 17.00, S10: 16.81, S11: 16.75, S12: 16.56, S13: 16.88, S14: 16.75, S15: 16.88, S16: 16.75, S17: 16.75, S18: 16.69, S19: 16.75, S20: 16.75.
