Inicio: 2025-08-11 08:00:00; Duracion: 1440 min
2025-08-11,12:46:38, Unidad: C°,S1: -127.00, S2: -127.00, S3: -127.00, S4: -127.00, S5: -127.00, S6: -127.00, S7: -127.00, S8: -127.00, S9: -127.00, S10: -127.00, S11: -127.00, S12: -127.00, S13: -127.00, S14: -127.00, S15: -127.00, S16: -127.00, S17: -127.00, S18: -127.00, S19: -127.00, S20: -127.00.
2025-08-11,12:47:38, Unidad: C°,S1: 19.00, S2: 19.00, S3: 18.88, S4: 18.94, S5: 21.25, S6: 17.63, S7: 17.81, S8: 17.94, S9: 17.88, S10: 17.63, S11: 18.06, S12: 18.50, S13: 18.75, S14: 18.63, S15: 19.25, S16: 19.00, S17: 18.69, S18: 18.81, S19: 18.69, S20: 18.81.
2025-08-11,12:47:52, Unidad: C°,S1: 19.06, S2: 19.00, S3: 18.94, S4: 19.06, S5: 21.44, S6: 17.69, S7: 17.69, S8: 17.94, S9: 17.88, S10: 17.75, S11: 18.13, S12: 18.50, S13: 18.81, S14: 18.63, S15: 19.25, S16: 19.00, S17: 18.69, S18: 18.81, S19: 18.75, S20: 18.81.
2025-08-11,12:48:52, Unidad: C°,S1: 19.13, S2: 19.06, S3: 18.94, S4: 19.13, S5: 21.94, S6: 17.81, S7: 17.81, S8: 18.00, S9: 17.88, S10: 17.81, S11: 18.13, S12: 18.56, S13: 18.81, S14: 18.63, S15: 19.25, S16: 19.00, S17: 18.69, S18: 18.81, S19: 18.75, S20: 18.81.
2025-08-11,12:49:14, Unidad: C°,S1: 19.06, S2: 19.00, S3: 18.94, S4: 19.06, S5: 22.13, S6: 17.81, S7: 17.88, S8: 18.00, S9: 17.94, S10: 17.81, S11: 18.19, S12: 18.56, S13: 18.81, S14: 18.63, S15: 19.25, S16: 19.00, S17: 18.69, S18: 18.81, S19: 18.75, S20: 18.88.
2025-08-11,12:50:14, Unidad: C°,S1: 19.19, S2: 19.06, S3: 19.00, S4: 19.13, S5: 22.38, S6: 17.88, S7: 17.94, S8: 18.06, S9: 18.00, S10: 17.81, S11: 18.13, S12: 18.50, S13: 18.81, S14: 18.63, S15: 19.25, S16: 19.06, S17: 18.69, S18: 18.88, S19: 18.75, S20: 18.88.
2025-08-11,12:50:49, Unidad: C°,S1: 19.13, S2: 19.13, S3: 19.06, S4: 19.19, S5: 22.50, S6: 17.88, S7: 17.88, S8: 18.06, S9: 18.00, S10: 17.88, S11: 18.25, S12: 18.50, S13: 18.81, S14: 18.63, S15: 19.31, S16: 19.06, S17: 18.69, S18: 18.88, S19: 18.75, S20: 18.88.
2025-08-11,12:51:49, Unidad: C°,S1: 19.13, S2: 19.13, S3: 19.06, S4: 19.19, S5: 22.69, S6: 17.88, S7: 17.94, S8: 18.06, S9: 18.06, S10: 17.94, S11: 18.19, S12: 18.50, S13: 18.81, S14: 18.63, S15: 19.31, S16: 19.06, S17: 18.69, S18: 18.88, S19: 18.81, S20: 18.88.
2025-08-11,12:52:49, Unidad: C°,S1: 19.19, S2: 19.13, S3: 19.13, S4: 19.19, S5: 22.81, S6: 17.94, S7: 18.00, S8: 18.06, S9: 18.00, S10: 17.94, S11: 18.31, S12: 18.56, S13: 18.81, S14: 18.63, S15: 19.31, S16: 19.06, S17: 18.69, S18: 18.94, S19: 18.81, S20: 18.88.
2025-08-11,12:53:49, Unidad: C°,S1: 19.19, S2: 19.13, S3: 19.13, S4: 19.25, S5: 22.94, S6: 18.00, S7: 18.00, S8: 18.13, S9: 18.06, S10: 17.94, S11: 18.38, S12: 18.56, S13: 18.88, S14: 18.63, S15: 19.31, S16: 19.06, S17: 18.75, S18: 18.94, S19: 18.81, S20: 18.88.
2025-08-11,12:54:49, Unidad: C°,S1: 19.25, S2: 19.19, S3: 19.13, S4: 19.25, S5: 23.00, S6: 18.00, S7: 18.13, S8: 18.13, S9: 18.06, S10: 18.00, S11: 18.31, S12: 18.63, S13: 18.88, S14: 18.69, S15: 19.31, S16: 19.06, S17: 18.69, S18: 18.94, S19: 18.94, S20: 18.94.
2025-08-11,12:55:49, Unidad: C°,S1: 19.25, S2: 19.19, S3: 19.13, S4: 19.25, S5: 23.00, S6: 18.00, S7: 18.13, S8: 18.19, S9: 18.13, S10: 18.06, S11: 18.38, S12: 18.63, S13: 18.88, S14: 18.69, S15: 19.94, S16: 31.06, S17: 18.94, S18: 19.00, S19: 19.00, S20: 18.94.
2025-08-11,12:56:49, Unidad: C°,S1: 19.25, S2: 19.25, S3: 19.19, S4: 19.25, S5: 23.00, S6: 18.00, S7: 18.13, S8: 18.25, S9: 18.19, S10: 18.00, S11: 18.38, S12: 18.63, S13: 19.00, S14: 19.63, S15: 20.06, S16: 28.69, S17: 19.50, S18: 19.13, S19: 19.06, S20: 19.00.
2025-08-11,12:57:49, Unidad: C°,S1: 19.25, S2: 19.25, S3: 19.19, S4: 19.25, S5: 23.06, S6: 18.06, S7: 18.13, S8: 18.19, S9: 18.13, S10: 18.06, S11: 18.50, S12: 18.63, S13: 21.25, S14: 19.75, S15: 20.25, S16: 26.00, S17: 19.75, S18: 19.69, S19: 19.25, S20: 30.94.
2025-08-11,12:58:49, Unidad: C°,S1: 19.19, S2: 19.13, S3: 19.06, S4: 19.19, S5: 23.00, S6: 18.00, S7: 18.19, S8: 18.25, S9: 18.13, S10: 18.06, S11: 18.50, S12: 18.63, S13: 21.38, S14: 19.88, S15: 20.06, S16: 24.38, S17: 19.69, S18: 19.50, S19: 19.31, S20: 28.31.
2025-08-11,12:59:49, Unidad: C°,S1: 19.13, S2: 19.00, S3: 19.00, S4: 19.06, S5: 22.94, S6: 18.00, S7: 18.19, S8: 18.19, S9: 18.13, S10: 18.00, S11: 18.56, S12: 18.69, S13: 21.19, S14: 19.94, S15: 19.88, S16: 23.13, S17: 19.56, S18: 19.38, S19: 19.31, S20: 25.81.
