#Inicio: 2025-08-15 08:00:00; Duracion: 1440 min
2025-08-15,08:00:46, Unidad: C°,S1: 13.31, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.56, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.50, S19: 13.50.
2025-08-15,08:01:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.56, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.69, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.44, S19: 13.50.
2025-08-15,08:02:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.50, S19: 13.50.
2025-08-15,08:03:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.44, S19: 13.50.
2025-08-15,08:04:46, Unidad: C°,S1: 13.31, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.50.
2025-08-15,08:05:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.50, S19: 13.50.
2025-08-15,08:06:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.50, S19: 13.50.
2025-08-15,08:07:46, Unidad: C°,S1: 13.38, S2: 13.38, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.38, S10: 13.69, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.50, S19: 13.50.
2025-08-15,08:08:46, Unidad: C°,S1: 13.44, S2: 13.38, S3: 13.31, S4: 13.50, S5: 13.56, S6: 13.81, S7: 14.00, S8: 13.75, S9: 13.25, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.50.
2025-08-15,08:09:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.56, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.25, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:10:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.56, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:11:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.25, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:12:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.38, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:13:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.50.
2025-08-15,08:14:46, Unidad: C°,S1: 13.44, S2: 13.38, S3: 13.38, S4: 13.56, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.75, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:15:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.56, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.75, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:16:46, Unidad: C°,S1: 13.44, S2: 13.38, S3: 13.31, S4: 13.56, S5: 13.69, S6: 13.81, S7: 13.94, S8: 13.75, S9: 13.31, S10: 13.69, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:17:46, Unidad: C°,S1: 13.38, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.75, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.25, S18: 13.50, S19: 13.56.
2025-08-15,08:18:46, Unidad: C°,S1: 13.31, S2: 13.38, S3: 13.31, S4: 13.69, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.69, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:19:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.69, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.69, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.50, S17: 13.25, S18: 13.50, S19: 13.50.
2025-08-15,08:20:46, Unidad: C°,S1: 13.31, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.81, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.25, S18: 13.50, S19: 13.56.
2025-08-15,08:21:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.63, S6: 13.75, S7: 14.00, S8: 13.75, S9: 13.31, S10: 13.81, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
2025-08-15,08:22:46, Unidad: C°,S1: 13.44, S2: 13.31, S3: 13.31, S4: 13.63, S5: 13.69, S6: 13.88, S7: 14.00, S8: 13.81, S9: 13.31, S10: 13.63, S11: 13.06, S12: 13.44, S13: 13.25, S14: 13.56, S15: 13.50, S16: 13.56, S17: 13.31, S18: 13.50, S19: 13.56.
