Inicio: 2025-08-18 08:00:00; Duracion: 1440 min
2025-08-18,08:00:46, Unidad: C°,S1: 12.94, S2: 12.88, S3: 12.81, S4: 13.06, S5: 13.19, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.31, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 13.00, S19: 13.00.
2025-08-18,08:01:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.94, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:02:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.19, S6: 13.25, S7: 13.44, S8: 13.31, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:03:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.19, S6: 13.19, S7: 13.50, S8: 13.31, S9: 12.88, S10: 13.06, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 13.00, S19: 13.00.
2025-08-18,08:04:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.19, S6: 13.25, S7: 13.50, S8: 13.25, S9: 12.81, S10: 13.13, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 13.00, S19: 13.00.
2025-08-18,08:05:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.88, S4: 13.06, S5: 13.13, S6: 13.25, S7: 13.50, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.06, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:06:46, Unidad: C°,S1: 12.94, S2: 12.81, S3: 12.81, S4: 13.00, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.31, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:07:46, Unidad: C°,S1: 12.94, S2: 12.81, S3: 12.81, S4: 12.94, S5: 13.13, S6: 13.25, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.31, S11: 12.56, S12: 12.94, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:08:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.88, S10: 13.13, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:09:46, Unidad: C°,S1: 12.81, S2: 12.81, S3: 12.81, S4: 13.06, S5: 13.13, S6: 13.19, S7: 13.50, S8: 13.25, S9: 12.81, S10: 13.25, S11: 12.56, S12: 12.94, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
2025-08-18,08:10:46, Unidad: C°,S1: 12.88, S2: 12.81, S3: 12.81, S4: 13.13, S5: 13.19, S6: 13.19, S7: 13.44, S8: 13.25, S9: 12.81, S10: 13.13, S11: 12.56, S12: 12.88, S13: 12.75, S14: 13.06, S15: 13.00, S16: 13.00, S17: 12.75, S18: 12.94, S19: 13.00.
